GSiC2      1.300e+03   52      1.000e-03
GCH2CHCCH  5.087e+03   52      1.000e-03
GNCCN      1.300e+03   52      1.000e-03
GCH2CHCN   5.480e+03   53      1.000e-03
GSiC2H     1.350e+03   53      1.000e-03
GSiC2H2    1.400e+03   54      1.000e-03
GC4H6      5.987e+03   54      1.000e-03
GC2H4CN    5.930E+03   54      1.000e-03
GSiNC      1.350e+03   54      1.000e-03
GCCP       1.350e+03   55      1.000e-03
GC2H5CN    6.380e+03   55      1.000e-03
GHC2P      1.400e+03   56      1.000e-03
GFe        4.200e+03   56      1.000e-03
GC2S       5.320e+03   56      1.000e-03
GCH3COCH3  3.300e+03   58      1.000e-03
GYCO       6.230E+03   59      1.000e-03
GCOOCH3    3.650E+03   59      1.000e-03
GC5        4.000e+03   60      1.000e-03
GHCOOCH3   4.000e+03   60      1.000e-03
GSiO2      4.300e+03   60      1.000e-03
GYCHO      6.680E+03   60      1.000e-03
GSiS       3.800e+03   60      1.000e-03
GOCS       2.888e+03   60      1.000e-03
GCH3COOH   6.300e+03   60      1.000e-03
GC5H       4.537e+03   61      1.000e-03
GC4N       4.000e+03   62      1.000e-03
GC5H2      4.987e+03   62      1.000e-03
GSiC3      1.600e+03   64      1.000e-03
GCH3C4H    5.887e+03   64      1.000e-03
GSO2       5.330e+03   64      1.000e-03
GS2        2.200e+03   64      1.000e-03
GSiC3H     1.650e+03   65      1.000e-03
GCH3C3N    6.480e+03   65      1.000e-03
GHS2       2.650e+03   65      1.000e-03
GH2S2      3.100e+03   66      1.000e-03
GC3P       1.650e+03   67      1.000e-03
GC3S       3.500e+03   68      1.000e-03
GC6        4.800e+03   72      1.000e-03
GC6H       5.337e+03   73      1.000e-03
GC6H2      5.787e+03   74      1.000e-03
GC5N       4.800e+03   74      1.000e-03
GHC5N      6.180e+03   75      1.000e-03
GSiC4      1.900e+03   76      1.000e-03
GC6H6      7.587e+03   78      1.000e-03
GC4P       1.950e+03   79      1.000e-03
GC4S       4.300e+03   80      1.000e-03
GC7        5.600e+03   84      1.000e-03
GC7H       6.137e+03   85      1.000e-03
GC7H2      6.587e+03   86      1.000e-03
GCH3C6H    7.487e+03   88      1.000e-03
GCH3C5N    7.880e+03   89      1.000e-03
GC8        6.400e+03   96      1.000e-03
GC8H       6.937e+03   97      1.000e-03
GC7N       6.400e+03   98      1.000e-03
GC8H2      7.387e+03   98      1.000e-03
GHC7N      7.780e+03   99      1.000e-03
GC9        7.200e+03  108      1.000e-03
GC9H       7.737e+03  109      1.000e-03
GC9H2      8.187e+03  110      1.000e-03
GCH3C7N    9.480e+03  113      1.000e-03
GC10       8.000e+03  120      1.000e-03
GC10H      8.537e+03  121      1.000e-03
GC10H2     8.987e+03  122      1.000e-03
GC9N       8.000e+03  122      1.000e-03
GHC9N      9.380e+03  123      1.000e-03
GC11       8.800e+03  132      1.000e-03
