  0.10000000E+003  0.99965002E-001  0.54251176E-003  0.52135194E-014  0.28283956E-017  0.11036187E-007
  0.20000000E+003  0.99920627E-001  0.81747490E-003  0.40033694E-013  0.32726540E-016  0.11856774E-007
  0.30000000E+003  0.99874650E-001  0.91827981E-003  0.11573146E-012  0.10627386E-015  0.12027522E-007
  0.40000000E+003  0.99830125E-001  0.97259300E-003  0.22840825E-012  0.22214827E-015  0.11975689E-007
  0.50000000E+003  0.99787448E-001  0.10068961E-002  0.37061811E-012  0.37317392E-015  0.11881862E-007
  0.60000000E+003  0.99746203E-001  0.10311156E-002  0.53473156E-012  0.55137004E-015  0.11790062E-007
  0.70000000E+003  0.99705965E-001  0.10494583E-002  0.71458594E-012  0.74992816E-015  0.11703708E-007
  0.80000000E+003  0.99666455E-001  0.10640078E-002  0.90559987E-012  0.96356535E-015  0.11620750E-007
  0.90000000E+003  0.99627503E-001  0.10759295E-002  0.11043965E-011  0.11882528E-014  0.11540783E-007
  0.10000000E+004  0.99589008E-001  0.10859441E-002  0.13085428E-011  0.14210044E-014  0.11464609E-007
  0.12000000E+004  0.99513140E-001  0.11019748E-002  0.17262964E-011  0.19023350E-014  0.11326887E-007
  0.13000000E+004  0.99475686E-001  0.11085447E-002  0.19377675E-011  0.21481019E-014  0.11265995E-007
  0.14000000E+004  0.99438510E-001  0.11143935E-002  0.21500278E-011  0.23959770E-014  0.11210263E-007
  0.16000000E+004  0.99364904E-001  0.11244161E-002  0.25753046E-011  0.28957139E-014  0.11112728E-007
  0.17000000E+004  0.99328438E-001  0.11287680E-002  0.27878502E-011  0.31468361E-014  0.11070003E-007
  0.19000000E+004  0.99256104E-001  0.11364720E-002  0.32120733E-011  0.36504315E-014  0.10994415E-007
  0.21000000E+004  0.99184488E-001  0.11431364E-002  0.36348245E-011  0.41551001E-014  0.10929600E-007
  0.24000000E+004  0.99078226E-001  0.11517145E-002  0.42659103E-011  0.49131108E-014  0.10847677E-007
