  0.10000000E+003  0.99958918E-001  0.68700233E-003  0.12469053E-013  0.85662683E-017  0.77780979E-008
  0.20000000E+003  0.99906782E-001  0.88892278E-003  0.73823302E-013  0.65623215E-016  0.81367883E-008
  0.30000000E+003  0.99855456E-001  0.96484788E-003  0.17624008E-012  0.17004487E-015  0.81369485E-008
  0.40000000E+003  0.99806804E-001  0.10069299E-002  0.30187449E-012  0.30396645E-015  0.80703339E-008
  0.50000000E+003  0.99760179E-001  0.10346792E-002  0.43912176E-012  0.45435017E-015  0.79959375E-008
  0.60000000E+003  0.99714965E-001  0.10545922E-002  0.58196114E-012  0.61373167E-015  0.79214625E-008
  0.70000000E+003  0.99670805E-001  0.10696485E-002  0.72734708E-012  0.77800571E-015  0.78500284E-008
  0.80000000E+003  0.99627493E-001  0.10814924E-002  0.87369911E-012  0.94489893E-015  0.77841066E-008
  0.90000000E+003  0.99584897E-001  0.10911184E-002  0.10201920E-011  0.11131503E-014  0.77248737E-008
  0.10000000E+004  0.99542919E-001  0.10991529E-002  0.11663760E-011  0.12820255E-014  0.76723788E-008
  0.12000000E+004  0.99460534E-001  0.11119991E-002  0.14570608E-011  0.16202504E-014  0.75850867E-008
  0.13000000E+004  0.99420017E-001  0.11172948E-002  0.16014271E-011  0.17892662E-014  0.75486420E-008
  0.14000000E+004  0.99379892E-001  0.11220497E-002  0.17451362E-011  0.19581295E-014  0.75160084E-008
  0.16000000E+004  0.99300676E-001  0.11303297E-002  0.20306933E-011  0.22953529E-014  0.74598318E-008
  0.17000000E+004  0.99261535E-001  0.11339953E-002  0.21726184E-011  0.24637389E-014  0.74355003E-008
  0.19000000E+004  0.99184051E-001  0.11406072E-002  0.24549675E-011  0.28001536E-014  0.73924952E-008
  0.21000000E+004  0.99107522E-001  0.11464724E-002  0.27355958E-011  0.31362852E-014  0.73557640E-008
  0.24000000E+004  0.98994247E-001  0.11542333E-002  0.31540078E-011  0.36404609E-014  0.73095224E-008
